VTX, IDX, _15.x, _15.y, _15.z, _18.x, _18.y, _18.z, _22.x, _22.y, _22.z, _22.w, _21.x, _21.y
0, 0, -0.20431,  0.03962,  0.16559,  0.54506,  0.80844,  0.22211,  0.76599, -0.58789,  0.26008, -1.00,  0.96143,  0.36377
1, 1, -0.18907,  0.00997,  0.16097,  0.93275,  0.0152,  0.36019,  0.05411, -0.9937, -0.09818, -1.00,  0.99365,  0.35376
2, 2, -0.18177, -0.00187,  0.18941,  0.44917, -0.16958,  0.87721,  0.0334, -0.97795, -0.20616, -1.00,  0.99365,  0.34399
3, 0, -0.20431,  0.03962,  0.16559,  0.54506,  0.80844,  0.22211,  0.76599, -0.58789,  0.26008, -1.00,  0.96143,  0.36377
4, 2, -0.18177, -0.00187,  0.18941,  0.44917, -0.16958,  0.87721,  0.0334, -0.97795, -0.20616, -1.00,  0.99365,  0.34399
5, 3, -0.19187,  0.04367,  0.16281,  0.52083,  0.4322,  0.73617,  0.36807, -0.89178,  0.26316, -1.00,  0.95996,  0.35205
6, 4, -0.17321, -0.00236,  0.18933,  0.05192, -0.15181,  0.98704,  0.01375, -0.98818, -0.15271, -1.00,  0.99365,  0.33667
7, 3, -0.19187,  0.04367,  0.16281,  0.52083,  0.4322,  0.73617,  0.36807, -0.89178,  0.26316, -1.00,  0.95996,  0.35205
8, 2, -0.18177, -0.00187,  0.18941,  0.44917, -0.16958,  0.87721,  0.0334, -0.97795, -0.20616, -1.00,  0.99365,  0.34399
9, 3, -0.19187,  0.04367,  0.16281,  0.52083,  0.4322,  0.73617,  0.36807, -0.89178,  0.26316, -1.00,  0.95996,  0.35205
10, 5, -0.267,  0.06745,  0.17568, -0.0112,  0.99522,  0.09706,  0.3382, -0.08758,  0.93699, -1.00,  0.92578,  0.41553
11, 0, -0.20431,  0.03962,  0.16559,  0.54506,  0.80844,  0.22211,  0.76599, -0.58789,  0.26008, -1.00,  0.96143,  0.36377
12, 4, -0.17321, -0.00236,  0.18933,  0.05192, -0.15181,  0.98704,  0.01375, -0.98818, -0.15271, -1.00,  0.99365,  0.33667
13, 6, -0.17042,  0.03004,  0.1993,  0.07568,  0.02089,  0.99691,  0.0197, -0.99962,  0.01946, -1.00,  0.9624,  0.33374
14, 3, -0.19187,  0.04367,  0.16281,  0.52083,  0.4322,  0.73617,  0.36807, -0.89178,  0.26316, -1.00,  0.95996,  0.35205
15, 7, -0.12062, -0.00639,  0.20187, -0.1259, -0.13181,  0.98325, -0.03177, -0.99009, -0.1368, -1.00,  0.99365,  0.28955
16, 6, -0.17042,  0.03004,  0.1993,  0.07568,  0.02089,  0.99691,  0.0197, -0.99962,  0.01946, -1.00,  0.9624,  0.33374
17, 4, -0.17321, -0.00236,  0.18933,  0.05192, -0.15181,  0.98704,  0.01375, -0.98818, -0.15271, -1.00,  0.99365,  0.33667
18, 3, -0.19187,  0.04367,  0.16281,  0.52083,  0.4322,  0.73617,  0.36807, -0.89178,  0.26316, -1.00,  0.95996,  0.35205
19, 8, -0.23992,  0.07371,  0.16545,  0.05943,  0.91826,  0.3915,  0.35256, -0.38623,  0.85237, -1.00,  0.92188,  0.38916
20, 5, -0.267,  0.06745,  0.17568, -0.0112,  0.99522,  0.09706,  0.3382, -0.08758,  0.93699, -1.00,  0.92578,  0.41553
21, 8, -0.23992,  0.07371,  0.16545,  0.05943,  0.91826,  0.3915,  0.35256, -0.38623,  0.85237, -1.00,  0.92188,  0.38916
22, 3, -0.19187,  0.04367,  0.16281,  0.52083,  0.4322,  0.73617,  0.36807, -0.89178,  0.26316, -1.00,  0.95996,  0.35205
23, 6, -0.17042,  0.03004,  0.1993,  0.07568,  0.02089,  0.99691,  0.0197, -0.99962,  0.01946, -1.00,  0.9624,  0.33374
24, 5, -0.267,  0.06745,  0.17568, -0.0112,  0.99522,  0.09706,  0.3382, -0.08758,  0.93699, -1.00,  0.92578,  0.41553
25, 8, -0.23992,  0.07371,  0.16545,  0.05943,  0.91826,  0.3915,  0.35256, -0.38623,  0.85237, -1.00,  0.92188,  0.38916
26, 9, -0.27168,  0.07081,  0.16065,  0.03347,  0.90376,  0.42673,  0.08061, -0.42802,  0.90017, -1.00,  0.88086,  0.42871
27, 9, -0.27168,  0.07081,  0.16065,  0.03347,  0.90376,  0.42673,  0.08061, -0.42802,  0.90017, -1.00,  0.88086,  0.42871
28, 10, -0.35475,  0.06222,  0.19657, -0.22765,  0.96802,  0.10539,  0.29379, -0.0349,  0.95523, -1.00,  0.91455,  0.49487
29, 5, -0.267,  0.06745,  0.17568, -0.0112,  0.99522,  0.09706,  0.3382, -0.08758,  0.93699, -1.00,  0.92578,  0.41553
30, 7, -0.12062, -0.00639,  0.20187, -0.1259, -0.13181,  0.98325, -0.03177, -0.99009, -0.1368, -1.00,  0.99365,  0.28955
31, 11, -0.12136,  0.01495,  0.20742, -0.10305, -0.04214,  0.99378, -0.00359, -0.99908, -0.04274, -1.00,  0.97461,  0.29053
32, 6, -0.17042,  0.03004,  0.1993,  0.07568,  0.02089,  0.99691,  0.0197, -0.99962,  0.01946, -1.00,  0.9624,  0.33374
33, 12, -0.05208,  0.00606,  0.21357, -0.16742, -0.11011,  0.97972,  0.01219, -0.9939, -0.10962, -1.00,  0.99365,  0.22498
34, 11, -0.12136,  0.01495,  0.20742, -0.10305, -0.04214,  0.99378, -0.00359, -0.99908, -0.04274, -1.00,  0.97461,  0.29053
35, 7, -0.12062, -0.00639,  0.20187, -0.1259, -0.13181,  0.98325, -0.03177, -0.99009, -0.1368, -1.00,  0.99365,  0.28955
36, 12, -0.05208,  0.00606,  0.21357, -0.16742, -0.11011,  0.97972,  0.01219, -0.9939, -0.10962, -1.00,  0.99365,  0.22498
37, 13, -0.05166,  0.03078,  0.21769, -0.12698,  0.27056,  0.95429,  0.00436, -0.96192,  0.2733, -1.00,  0.97363,  0.22412
38, 11, -0.12136,  0.01495,  0.20742, -0.10305, -0.04214,  0.99378, -0.00359, -0.99908, -0.04274, -1.00,  0.97461,  0.29053
39, 14,  0.02195,  0.00536,  0.22882, -0.14667, -0.09398,  0.98471,  0.01375, -0.99557, -0.09296, -1.00,  0.99365,  0.16064
40, 13, -0.05166,  0.03078,  0.21769, -0.12698,  0.27056,  0.95429,  0.00436, -0.96192,  0.2733, -1.00,  0.97363,  0.22412
41, 12, -0.05208,  0.00606,  0.21357, -0.16742, -0.11011,  0.97972,  0.01219, -0.9939, -0.10962, -1.00,  0.99365,  0.22498
42, 6, -0.17042,  0.03004,  0.1993,  0.07568,  0.02089,  0.99691,  0.0197, -0.99962,  0.01946, -1.00,  0.9624,  0.33374
43, 11, -0.12136,  0.01495,  0.20742, -0.10305, -0.04214,  0.99378, -0.00359, -0.99908, -0.04274, -1.00,  0.97461,  0.29053
