VTX, IDX, POSITION.x, POSITION.y, POSITION.z
0, 0,  0.00,  1.00,  0.00
1, 1,  0.00,  0.98079, -0.19509
2, 2,  0.19509,  0.98079,  0.00
3, 3,  0.00,  0.98079, -0.19509
4, 4,  0.00,  0.92388, -0.38268
5, 5,  0.19876,  0.95968, -0.19876
6, 6,  0.19876,  0.95968, -0.19876
7, 7,  0.19509,  0.98079,  0.00
8, 8,  0.00,  0.98079, -0.19509
9, 9,  0.38268,  0.92388,  0.00
10, 10,  0.19509,  0.98079,  0.00
11, 11,  0.19876,  0.95968, -0.19876
12, 12,  0.00,  0.92388, -0.38268
13, 13,  0.00,  0.83147, -0.55557
14, 14,  0.20885,  0.89032, -0.40462
15, 15,  0.00,  0.83147, -0.55557
16, 16,  0.00,  0.70711, -0.70711
17, 17,  0.21132,  0.78868, -0.57735
18, 18,  0.21132,  0.78868, -0.57735
19, 19,  0.20885,  0.89032, -0.40462
20, 20,  0.00,  0.83147, -0.55557
21, 21,  0.40825,  0.8165, -0.40825
22, 22,  0.20885,  0.89032, -0.40462
23, 23,  0.21132,  0.78868, -0.57735
24, 24,  0.40825,  0.8165, -0.40825
25, 25,  0.40462,  0.89032, -0.20885
26, 26,  0.20885,  0.89032, -0.40462
27, 27,  0.40462,  0.89032, -0.20885
28, 28,  0.38268,  0.92388,  0.00
29, 29,  0.19876,  0.95968, -0.19876
30, 30,  0.19876,  0.95968, -0.19876
31, 31,  0.20885,  0.89032, -0.40462
32, 32,  0.40462,  0.89032, -0.20885
33, 33,  0.00,  0.92388, -0.38268
34, 34,  0.20885,  0.89032, -0.40462
35, 35,  0.19876,  0.95968, -0.19876
36, 36,  0.70711,  0.70711,  0.00
37, 37,  0.55557,  0.83147,  0.00
38, 38,  0.57735,  0.78868, -0.21132
39, 39,  0.55557,  0.83147,  0.00
40, 40,  0.38268,  0.92388,  0.00
41, 41,  0.40462,  0.89032, -0.20885
42, 42,  0.40462,  0.89032, -0.20885
43, 43,  0.57735,  0.78868, -0.21132
44, 44,  0.55557,  0.83147,  0.00
45, 45,  0.40825,  0.8165, -0.40825
46, 46,  0.57735,  0.78868, -0.21132
47, 47,  0.40462,  0.89032, -0.20885
48, 48,  0.00,  0.70711, -0.70711
49, 49,  0.00,  0.55557, -0.83147
50, 50,  0.21132,  0.57735, -0.78868
51, 51,  0.00,  0.55557, -0.83147
52, 52,  0.00,  0.38268, -0.92388
53, 53,  0.20885,  0.40462, -0.89032
54, 54,  0.20885,  0.40462, -0.89032
