VTX, IDX, Vertex_Position.x, Vertex_Position.y, Vertex_Position.z, Vertex_UV.x, Vertex_UV.y
0, 0,  253.11646, -1975.37671, -183.89987,  0.56396,  0.9707
1, 1,  0.00, -2000.00,  0.00,  0.50,  0.98877
2, 2,  297.55624, -1975.37671, -96.68188,  0.5752,  0.97656
3, 2,  297.55624, -1975.37671, -96.68188,  0.5752,  0.97656
4, 3,  587.78564, -1902.11304, -190.98314,  0.64844,  0.95215
5, 0,  253.11646, -1975.37671, -183.89987,  0.56396,  0.9707
6, 3,  587.78564, -1902.11304, -190.98314,  0.64844,  0.95215
7, 4,  500.00037, -1902.11304, -363.27148,  0.62646,  0.94092
8, 0,  253.11646, -1975.37671, -183.89987,  0.56396,  0.9707
9, 3,  587.78564, -1902.11304, -190.98314,  0.64844,  0.95215
10, 5,  863.54187, -1782.01306, -280.58176,  0.71826,  0.91699
11, 4,  500.00037, -1902.11304, -363.27148,  0.62646,  0.94092
12, 6,  183.89987, -1975.37671, -253.11646,  0.54639,  0.96631
13, 7,  0.00, -2000.00,  0.00,  0.50,  0.98877
14, 0,  253.11646, -1975.37671, -183.89987,  0.56396,  0.9707
15, 0,  253.11646, -1975.37671, -183.89987,  0.56396,  0.9707
16, 4,  500.00037, -1902.11304, -363.27148,  0.62646,  0.94092
17, 6,  183.89987, -1975.37671, -253.11646,  0.54639,  0.96631
18, 5,  863.54187, -1782.01306, -280.58176,  0.71826,  0.91699
19, 8,  734.57257, -1782.01306, -533.69818,  0.68555,  0.90039
20, 4,  500.00037, -1902.11304, -363.27148,  0.62646,  0.94092
21, 5,  863.54187, -1782.01306, -280.58176,  0.71826,  0.91699
22, 9,  1118.03467, -1618.03406, -363.27148,  0.78271,  0.87158
23, 8,  734.57257, -1782.01306, -533.69818,  0.68555,  0.90039
24, 4,  500.00037, -1902.11304, -363.27148,  0.62646,  0.94092
25, 10,  363.27148, -1902.11304, -500.00031,  0.5918,  0.93213
26, 6,  183.89987, -1975.37671, -253.11646,  0.54639,  0.96631
27, 4,  500.00037, -1902.11304, -363.27148,  0.62646,  0.94092
28, 8,  734.57257, -1782.01306, -533.69818,  0.68555,  0.90039
29, 10,  363.27148, -1902.11304, -500.00031,  0.5918,  0.93213
30, 11,  96.68187, -1975.37671, -297.55621,  0.52441,  0.96338
31, 12,  0.00, -2000.00,  0.00,  0.50,  0.98877
32, 6,  183.89987, -1975.37671, -253.11646,  0.54639,  0.96631
33, 6,  183.89987, -1975.37671, -253.11646,  0.54639,  0.96631
34, 10,  363.27148, -1902.11304, -500.00031,  0.5918,  0.93213
35, 11,  96.68187, -1975.37671, -297.55621,  0.52441,  0.96338
36, 9,  1118.03467, -1618.03406, -363.27148,  0.78271,  0.87158
