VTX, IDX, _input0.x, _input0.y, _input0.z, _input0.w, _input1.x, _input1.y, _input1.z, _input1.w, _input2.x, _input2.y, _input3.x, _input3.y
0, 0,  0.0408,  0.14246, -0.0244,  1.00,  0.06299,  0.29921,  0.95276,  0.00,  0.0675,  0.00913,  0.5166,  0.14612
1, 1,  0.06647, -0.05243,  0.02003,  1.00,  0.07087,  0.22835,  0.9685,  0.00,  0.0675,  0.00913,  0.5166,  0.01
2, 2,  0.10126,  0.14636, -0.0298,  1.00,  0.06299,  0.33071,  0.93701,  0.00,  0.0675,  0.00913,  0.5166,  0.14612
3, 0,  0.0408,  0.14246, -0.0244,  1.00,  0.06299,  0.29921,  0.95276,  0.00,  0.0675,  0.00913,  0.5166,  0.14612
4, 2,  0.10126,  0.14636, -0.0298,  1.00,  0.06299,  0.33071,  0.93701,  0.00,  0.0675,  0.00913,  0.5166,  0.14612
5, 3,  0.09125,  0.21606, -0.07361,  1.00,  0.03937,  0.53543,  0.84252,  0.00,  0.0675,  0.00913,  0.5166,  0.21973
6, 4, -0.46753,  0.26807, -0.15637,  1.00,  0.75591,  0.04724, -0.65354,  0.00, -0.48193, -0.17639,  0.44336,  0.26709
7, 5, -0.48022, -0.09619, -0.17529,  1.00,  0.75591,  0.00787, -0.65354,  0.00, -0.48193, -0.17639,  0.44336,  0.01
8, 6, -0.50781,  0.26758, -0.20337,  1.00,  0.75591,  0.04724, -0.65354,  0.00, -0.48193, -0.17639,  0.44336,  0.26709
9, 4, -0.46753,  0.26807, -0.15637,  1.00,  0.75591,  0.04724, -0.65354,  0.00, -0.48193, -0.17639,  0.44336,  0.26709
10, 6, -0.50781,  0.26758, -0.20337,  1.00,  0.75591,  0.04724, -0.65354,  0.00, -0.48193, -0.17639,  0.44336,  0.26709
11, 7, -0.51416,  0.40308, -0.17505,  1.00,  0.74803,  0.16535, -0.64567,  0.00, -0.48193, -0.17639,  0.44336,  0.40161
12, 8,  0.36035,  0.38623,  0.49414,  1.00,  0.82677,  0.04724,  0.55906,  0.00,  0.36694,  0.49487,  0.43359,  0.38477
13, 9,  0.36353, -0.13867,  0.50293,  1.00,  0.82677,  0.01575,  0.55906,  0.00,  0.36694,  0.49487,  0.43359,  0.01
14, 10,  0.39624,  0.38184,  0.44189,  1.00,  0.82677,  0.04724,  0.55906,  0.00,  0.36694,  0.49487,  0.43359,  0.38477
15, 8,  0.36035,  0.38623,  0.49414,  1.00,  0.82677,  0.04724,  0.55906,  0.00,  0.36694,  0.49487,  0.43359,  0.38477
16, 10,  0.39624,  0.38184,  0.44189,  1.00,  0.82677,  0.04724,  0.55906,  0.00,  0.36694,  0.49487,  0.43359,  0.38477
17, 11,  0.37085,  0.57666,  0.42944,  1.00,  0.82677,  0.14173,  0.55118,  0.00,  0.36694,  0.49487,  0.43359,  0.57861
18, 12,  0.20447,  0.18079, -0.32544,  1.00,  0.6378,  0.11811,  0.75591,  0.00,  0.22583, -0.3269,  0.35596,  0.17993
19, 13,  0.22595, -0.06488, -0.32178,  1.00,  0.64567,  0.07087,  0.76378,  0.00,  0.22583, -0.3269,  0.35596,  0.01
20, 14,  0.24622,  0.18115, -0.36084,  1.00,  0.6378,  0.14173,  0.75591,  0.00,  0.22583, -0.3269,  0.35596,  0.17993
21, 12,  0.20447,  0.18079, -0.32544,  1.00,  0.6378,  0.11811,  0.75591,  0.00,  0.22583, -0.3269,  0.35596,  0.17993
22, 14,  0.24622,  0.18115, -0.36084,  1.00,  0.6378,  0.14173,  0.75591,  0.00,  0.22583, -0.3269,  0.35596,  0.17993
23, 15,  0.22217,  0.27271, -0.37988,  1.00,  0.61417,  0.30709,  0.72441,  0.00,  0.22583, -0.3269,  0.35596,  0.27075
24, 16, -0.05579,  0.16699, -0.1626,  1.00, -0.00787,  0.07087,  1.00,  0.00, -0.05341, -0.15894,  0.78809,  0.16528
25, 17, -0.05978, -0.05936, -0.15796,  1.00, -0.01575,  0.02362,  1.00,  0.00, -0.05341, -0.15894,  0.78809,  0.01
26, 18, -0.00878,  0.16235, -0.16187,  1.00, -0.00787,  0.07087,  1.00,  0.00, -0.05341, -0.15894,  0.78809,  0.16528
27, 16, -0.05579,  0.16699, -0.1626,  1.00, -0.00787,  0.07087,  1.00,  0.00, -0.05341, -0.15894,  0.78809,  0.16528
28, 18, -0.00878,  0.16235, -0.16187,  1.00, -0.00787,  0.07087,  1.00,  0.00, -0.05341, -0.15894,  0.78809,  0.16528
29, 19, -0.01376,  0.24744, -0.18066,  1.00,  0.00787,  0.2126,  0.97638,  0.00, -0.05341, -0.15894,  0.78809,  0.24866
30, 20,  0.2749, -0.01852,  0.2356,  1.00, -0.99213,  0.08661, -0.08661,  0.00,  0.27783,  0.26343,  0.43481,  0.01
31, 21,  0.27026, -0.01744,  0.28809,  1.00, -0.99213,  0.08661, -0.05512,  0.00,  0.27783,  0.26343,  0.43481,  0.01
32, 22,  0.30298,  0.31714,  0.24377,  1.00, -0.82677,  0.14961,  0.54331,  0.00,  0.27783,  0.26343,  0.43481,  0.31055
33, 22,  0.30298,  0.31714,  0.24377,  1.00, -0.82677,  0.14961,  0.54331,  0.00,  0.27783,  0.26343,  0.43481,  0.31055
34, 21,  0.27026, -0.01744,  0.28809,  1.00, -0.99213,  0.08661, -0.05512,  0.00,  0.27783,  0.26343,  0.43481,  0.01
35, 23,  0.33057,  0.3606,  0.27002,  1.00, -0.79528,  0.15748,  0.58268,  0.00,  0.27783,  0.26343,  0.43481,  0.35986
36, 24, -0.38013,  0.16528,  0.29004,  1.00, -0.10236,  0.14173, -0.98425,  0.00, -0.40649,  0.27905,  0.25293,  0.16455
37, 25, -0.40527, -0.0592,  0.27466,  1.00, -0.10236,  0.07874, -0.99213,  0.00, -0.40649,  0.27905,  0.25293,  0.01
38, 26, -0.44189,  0.16821,  0.29663,  1.00, -0.09449,  0.17323, -0.98425,  0.00, -0.40649,  0.27905,  0.25293,  0.16455
39, 24, -0.38013,  0.16528,  0.29004,  1.00, -0.10236,  0.14173, -0.98425,  0.00, -0.40649,  0.27905,  0.25293,  0.16455
40, 26, -0.44189,  0.16821,  0.29663,  1.00, -0.09449,  0.17323, -0.98425,  0.00, -0.40649,  0.27905,  0.25293,  0.16455
41, 27, -0.42847,  0.25244,  0.32886,  1.00, -0.07874,  0.37008, -0.92913,  0.00, -0.40649,  0.27905,  0.25293,  0.24756
42, 28, -0.48682,  0.21411,  0.20483,  1.00,  0.45669,  0.06299, -0.88976,  0.00, -0.48828,  0.1969,  0.87256,  0.21313
