VTX, IDX, _input0.x, _input0.y, _input0.z, _input1.x, _input1.y, _input1.z, _input2.x, _input2.y, _input3.x, _input3.y
0, 0, -0.22412, -0.78487,  1.48635,  0.4901,  0.0093,  0.49971,  0.2052,  0.5452,  0.2052,  0.5452
1, 1,  0.08387, -0.41121,  1.19494,  0.35095, -0.06787,  0.60185,  0.233,  0.4428,  0.233,  0.4428
2, 2, -0.29373, -0.39897,  1.29967,  0.17247,  0.2441,  0.63298,  0.1521,  0.4884,  0.1521,  0.4884
3, 0, -0.22412, -0.78487,  1.48635,  0.4901,  0.0093,  0.49971,  0.2052,  0.5452,  0.2052,  0.5452
4, 2, -0.29373, -0.39897,  1.29967,  0.17247,  0.2441,  0.63298,  0.1521,  0.4884,  0.1521,  0.4884
5, 3, -0.59555, -0.6996,  1.54656, -0.0362,  0.35204,  0.60395,  0.121,  0.5935,  0.121,  0.5935
6, 3, -0.59555, -0.6996,  1.54656, -0.0362,  0.35204,  0.60395,  0.121,  0.5935,  0.121,  0.5935
7, 2, -0.29373, -0.39897,  1.29967,  0.17247,  0.2441,  0.63298,  0.1521,  0.4884,  0.1521,  0.4884
8, 4, -0.61692, -0.42101,  1.35105, -0.0772,  0.31701,  0.61931,  0.0924,  0.5429,  0.0924,  0.5429
9, 5, -0.96574, -0.51205,  1.26603, -0.33734,  0.24697,  0.56144,  0.0487,  0.5851,  0.0487,  0.5851
10, 3, -0.59555, -0.6996,  1.54656, -0.0362,  0.35204,  0.60395,  0.121,  0.5935,  0.121,  0.5935
11, 4, -0.61692, -0.42101,  1.35105, -0.0772,  0.31701,  0.61931,  0.0924,  0.5429,  0.0924,  0.5429
12, 3, -0.59555, -0.6996,  1.54656, -0.0362,  0.35204,  0.60395,  0.121,  0.5935,  0.121,  0.5935
13, 6, -0.49427, -1.12739,  1.72773,  0.42526, -0.28612,  0.47674,  0.2109,  0.6466,  0.2109,  0.6466
14, 0, -0.22412, -0.78487,  1.48635,  0.4901,  0.0093,  0.49971,  0.2052,  0.5452,  0.2052,  0.5452
15, 5, -0.96574, -0.51205,  1.26603, -0.33734,  0.24697,  0.56144,  0.0487,  0.5851,  0.0487,  0.5851
16, 7, -1.13485, -0.90009,  1.37363, -0.68579, -0.05321,  0.12986,  0.0466,  0.6661,  0.0466,  0.6661
17, 3, -0.59555, -0.6996,  1.54656, -0.0362,  0.35204,  0.60395,  0.121,  0.5935,  0.121,  0.5935
18, 8, -1.20109, -0.74683,  1.13318, -0.28273, -0.07408,  0.63606,  0.0083,  0.6226,  0.0083,  0.6226
19, 7, -1.13485, -0.90009,  1.37363, -0.68579, -0.05321,  0.12986,  0.0466,  0.6661,  0.0466,  0.6661
20, 5, -0.96574, -0.51205,  1.26603, -0.33734,  0.24697,  0.56144,  0.0487,  0.5851,  0.0487,  0.5851
21, 3, -0.59555, -0.6996,  1.54656, -0.0362,  0.35204,  0.60395,  0.121,  0.5935,  0.121,  0.5935
22, 7, -1.13485, -0.90009,  1.37363, -0.68579, -0.05321,  0.12986,  0.0466,  0.6661,  0.0466,  0.6661
23, 9, -0.75283, -0.95618,  1.70789, -0.07786,  0.38916,  0.57662,  0.1409,  0.6586,  0.1409,  0.6586
24, 6, -0.49427, -1.12739,  1.72773,  0.42526, -0.28612,  0.47674,  0.2109,  0.6466,  0.2109,  0.6466
25, 3, -0.59555, -0.6996,  1.54656, -0.0362,  0.35204,  0.60395,  0.121,  0.5935,  0.121,  0.5935
26, 9, -0.75283, -0.95618,  1.70789, -0.07786,  0.38916,  0.57662,  0.1409,  0.6586,  0.1409,  0.6586
27, 9, -0.75283, -0.95618,  1.70789, -0.07786,  0.38916,  0.57662,  0.1409,  0.6586,  0.1409,  0.6586
28, 7, -1.13485, -0.90009,  1.37363, -0.68579, -0.05321,  0.12986,  0.0466,  0.6661,  0.0466,  0.6661
29, 10, -1.20949, -1.15925,  1.62291, -0.65848,  0.14023, -0.19169,  0.0847,  0.7551,  0.0847,  0.7551
30, 11, -1.01044, -1.22481,  1.84607, -0.05806,  0.39491,  0.57504,  0.1503,  0.7528,  0.1503,  0.7528
31, 6, -0.49427, -1.12739,  1.72773,  0.42526, -0.28612,  0.47674,  0.2109,  0.6466,  0.2109,  0.6466
32, 9, -0.75283, -0.95618,  1.70789, -0.07786,  0.38916,  0.57662,  0.1409,  0.6586,  0.1409,  0.6586
33, 9, -0.75283, -0.95618,  1.70789, -0.07786,  0.38916,  0.57662,  0.1409,  0.6586,  0.1409,  0.6586
