VTX, IDX, _input0.x, _input0.y, _input0.z, _input1.x, _input1.y, _input1.z, _input2.x, _input2.y, _input3.x, _input3.y
0, 0,  3.13262,  1.68712, -1.23779, -0.65588,  0.08392,  0.4503,  0.7036,  0.4571,  0.7036,  0.4571
1, 1,  3.11757,  2.17786, -1.35117, -0.65588,  0.08392,  0.4503,  0.6653,  0.4562,  0.6653,  0.4562
2, 2,  3.00548,  2.1029, -1.50047, -0.65588,  0.08392,  0.4503,  0.669,  0.4399,  0.669,  0.4399
3, 3,  3.13262,  1.68712, -1.23779, -0.71735,  0.00436,  0.35411,  0.7036,  0.4571,  0.7036,  0.4571
4, 4,  3.00548,  2.1029, -1.50047, -0.71735,  0.00436,  0.35411,  0.669,  0.4399,  0.669,  0.4399
5, 5,  2.94314,  1.95772, -1.62498, -0.71735,  0.00436,  0.35411,  0.6794,  0.4269,  0.6794,  0.4269
6, 6,  3.13262,  1.68712, -1.23779, -0.73967, -0.11282,  0.28313,  0.7036,  0.4571,  0.7036,  0.4571
7, 7,  2.94314,  1.95772, -1.62498, -0.73967, -0.11282,  0.28313,  0.6794,  0.4269,  0.6794,  0.4269
8, 8,  2.94285,  1.7711, -1.7001, -0.73967, -0.11282,  0.28313,  0.6944,  0.4197,  0.6944,  0.4197
9, 9,  3.13262,  1.68712, -1.23779, -0.71869, -0.24672,  0.25021,  0.7036,  0.4571,  0.7036,  0.4571
10, 10,  2.94285,  1.7711, -1.7001, -0.71869, -0.24672,  0.25021,  0.6944,  0.4197,  0.6944,  0.4197
11, 11,  3.0047,  1.57999, -1.71089, -0.71869, -0.24672,  0.25021,  0.711,  0.4197,  0.711,  0.4197
12, 12,  3.13262,  1.68712, -1.23779, -0.65734, -0.37303,  0.26221,  0.7036,  0.4571,  0.7036,  0.4571
13, 13,  3.0047,  1.57999, -1.71089, -0.65734, -0.37303,  0.26221,  0.711,  0.4197,  0.711,  0.4197
14, 14,  3.11643,  1.42221, -1.65526, -0.65734, -0.37303,  0.26221,  0.726,  0.4269,  0.726,  0.4269
15, 15,  3.13262,  1.68712, -1.23779, -0.56575, -0.4674,  0.31854,  0.7036,  0.4571,  0.7036,  0.4571
16, 16,  3.11643,  1.42221, -1.65526, -0.56575, -0.4674,  0.31854,  0.726,  0.4269,  0.726,  0.4269
17, 17,  3.25592,  1.32906, -1.54418, -0.56575, -0.4674,  0.31854,  0.7364,  0.4399,  0.7364,  0.4399
18, 18,  3.13262,  1.68712, -1.23779, -0.46092, -0.50946,  0.40988,  0.7036,  0.4571,  0.7036,  0.4571
19, 19,  3.25592,  1.32906, -1.54418, -0.46092, -0.50946,  0.40988,  0.7364,  0.4399,  0.7364,  0.4399
20, 20,  3.39555,  1.31898, -1.3997, -0.46092, -0.50946,  0.40988,  0.7402,  0.4561,  0.7402,  0.4561
21, 21,  3.13262,  1.68712, -1.23779, -0.36427, -0.48822,  0.5186,  0.7036,  0.4571,  0.7036,  0.4571
22, 22,  3.39555,  1.31898, -1.3997, -0.36427, -0.48822,  0.5186,  0.7402,  0.4561,  0.7402,  0.4561
23, 23,  3.50764,  1.39391, -1.25042, -0.36427, -0.48822,  0.5186,  0.7365,  0.4724,  0.7365,  0.4724
